id,title,body,role,standard_answer,scoring
fe-007,Web前端-前端安全,"常见前端安全问题有哪些？如何在项目中系统性防护？",Web前端,"应包含XSS、CSRF、点击劫持、依赖投毒、CSP与输入输出校验等防护措施。","安全面覆盖40分；防护措施35分；工程流程15分；风险意识10分"
py-004,Python算法-图算法应用,"请对比Dijkstra、Bellman-Ford和Floyd算法的复杂度与适用场景。",Python算法,"应给出时间复杂度、负权边支持情况、单源/多源最短路区别及工程选型。","算法对比40分；复杂度准确30分；场景选型20分；表达10分"
py-005,Python算法-海量数据处理,"面对千万级数据去重与TopK统计，你会如何设计高效方案？",Python算法,"应涉及哈希分片、布隆过滤器、堆/快速选择、外部排序和内存约束下的分治。","方案完整性35分；复杂度分析30分；资源意识20分；可实施性15分"
py-006,Python算法-模型评估指标,"分类与排序任务常见评估指标有哪些，如何结合业务目标选取？",Python算法,"应覆盖Precision/Recall/F1、ROC-AUC、PR-AUC、NDCG等，并说明阈值权衡。","指标理解40分；业务映射30分；阈值策略20分；表达10分"
py-007,Python算法-在线服务优化,"算法服务线上延迟高且吞吐不足，你会如何进行性能优化？",Python算法,"应包含批处理、向量化、模型量化、异步IO、缓存与资源隔离，并给出监控方案。","性能思路35分；工程优化35分；监控闭环20分；稳定性10分"
jv-011,Java后端-资源池与连接复用,"谈谈数据库连接池的工作原理与常见配置项对性能的影响。",Java后端,"应提到连接复用、最大/最小连接数、空闲超时、泄漏检测、测试连接与预热策略。","原理理解30分；性能影响30分；配置与调优30分；实践经验10分"
jv-012,Java后端-类加载与热替换,"Java类加载机制与热替换（HotSwap）原理，生产环境可行性如何？",Java后端,"应包含类加载器层次、双亲委派模型、HotSwap限制与替代方案（JRebel/动态代理）。","原理理解35分；限制说明30分；替代方案20分；工程风险15分"
jv-013,Java后端-GC调优实战,"给出常见GC器选择（G1/Parallel/ConcurrentMarkSweep）与调优要点。",Java后端,"应结合延迟与吞吐目标讨论不同GC器，提到堆大小、年轻代/老年代比例与GC日志分析。","选择理由35分；调优方法35分；监控与验证15分；回归策略15分"
jv-014,Java后端-类与接口设计,"接口设计时如何平衡可扩展性与稳定性？请给出示例。",Java后端,"应讨论接口粒度、语义版本、向后兼容、默认方法与抽象类的权衡。","设计原则30分；示例与理由40分；兼容性考虑20分；表达10分"
jv-015,Java后端-消息中间件事务整合,"如何在分布式事务场景使用消息中间件保证最终一致性？",Java后端,"应说明发送方事务内消息投递、可靠投递、补偿机制与幂等消费策略。","策略完整性35分；幂等与补偿20分；实现细节30分；风险15分"
jv-016,Java后端-接口幂等设计,"如何设计REST接口幂等性，举例说明实现方式？",Java后端,"应包含幂等键、去重表、消费幂等、幂等的语义与幂等性在POST/PUT场景的差异。","设计正确性40分；实现细节30分；风险说明20分；测试策略10分"
jv-017,Java后端-性能测试策略,"如何设计一套可靠的性能测试流程（包含压测与容量评估）？",Java后端,"应包含场景建模、数据准备、负载曲线、监控指标、瓶颈定位与回归验证。","流程完整性35分；工具与指标30分；瓶颈分析20分；落地经验15分"
jv-018,Java后端-网络编程与NIO,"解释Java NIO模型以及与传统IO的差异与适用场景。",Java后端,"应覆盖Selector、Channel、Buffer、非阻塞IO的场景与线程模型，以及性能对比。","原理理解40分；适用场景30分；实现注意点20分；案例10分"
jv-019,Java后端-安全认证与授权,"设计一个微服务的认证与授权方案（OAuth2/JWT等）有哪些权衡？",Java后端,"应讨论Token存储与失效、刷新机制、认证服务器、Token签名与权限粒度。","方案完整性35分；安全性分析35分；工程实现20分；策略风险10分"
jv-020,Java后端-服务降级与熔断,"如何设计服务的熔断与降级策略以提高系统韧性？",Java后端,"应包含断路器原理、重试策略、退避机制、降级逻辑与熔断阈值设定。","策略设计35分；实现与阈值30分；风险与监控20分；演练15分"
jv-021,Java后端-日志与链路追踪,"如何搭建全链路追踪系统并保证低开销？",Java后端,"应包含Trace上下文传播、采样策略、日志关联、存储与查询效率。","设计完整性35分；采样与性能30分；可视化与分析15分；工程落地20分"
jv-022,Java后端-协议与序列化,"比较常见序列化协议（JSON/Protobuf/Avro）的性能与使用场景。",Java后端,"应说明序列化成本、兼容性、Schema管理与二进制协议优势。","比较深度35分；场景适配30分；工程与兼容20分；实践经验15分"
jv-023,Java后端-异步编程模型,"讨论CompletableFuture、Reactive（Rx/Project Reactor）及其适用场景。",Java后端,"应包含回调地狱、背压、线程调度与适配传统阻塞API的注意点。","模型理解35分；适用场景30分；实现复杂度20分；风险15分"
jv-024,Java后端-配置管理与动态更新,"如何实现配置的集中管理与热更新？",Java后端,"应包括配置中心、版本控制、灰度发布、回滚与本地缓存策略。","方案完整性35分；灰度/回滚30分；一致性与缓存20分；监控15分"
jv-025,Java后端-数据库分库分表策略,"如何设计分库分表以支持千万级数据写入？",Java后端,"应涵盖水平分片、路由策略、全局唯一ID、跨分片事务与归档策略。","分片策略35分；路由与一致性30分；运维与迁移20分；风险15分"
jv-026,Java后端-索引优化技巧,"如何分析慢查询并优化索引策略（包含覆盖索引与复合索引）？",Java后端,"应包含Explain分析、回表成本、索引选择性与冗余索引清理。","分析能力35分；优化手段35分；验证与回归15分；风险10分"
jv-027,Java后端-数据一致性模式,"讨论最终一致性、读写分离与主从复制的常见一致性问题。",Java后端,"应涉及延迟读、弱一致性、补偿与幂等设计。","概念理解35分；场景适配30分；补偿策略20分；工程实践15分"
jv-028,Java后端-微服务安全边界,"如何在微服务架构中防止越权与横向攻击？",Java后端,"应包含网络隔离、服务网格、零信任、最小权限与审计策略。","安全策略35分；实现方案30分；监控与审计20分；风险15分"
jv-029,Java后端-短连接与长连接选择,"如何决定服务间通信使用短连接还是长连接？",Java后端,"应讨论延迟、连接建立成本、并发量、心跳与资源占用。","权衡分析35分；实现要点30分；场景举例20分；工程经验15分"
jv-030,Java后端-数据泄露与脱敏,"如何在存储与传输中保护敏感数据并实现脱敏？",Java后端,"应包含加密传输、字段脱敏、密钥管理与合规性考量。","安全实践35分；合规与密钥管理30分；实现细节20分；审计15分"
jv-031,Java后端-容器化最佳实践,"如何为Java服务编写高效的容器镜像（镜像体积、启动速度）？",Java后端,"应涉及JVM内存、层次化构建、多阶段构建与体积优化策略。","实践性35分；性能影响30分；工程细节20分；示例15分"
jv-032,Java后端-端到端加密实现,"端到端加密的实现要点与密钥管理策略是什么？",Java后端,"应讨论密钥协商、客户端保护、后端存储加密与合规。","方案完整性35分；密钥管理30分；实现难点20分；风险15分"
jv-033,Java后端-热更新与蓝绿部署,"如何设计无损发布（蓝绿/灰度/金丝雀）流程？",Java后端,"应包括流量切换、迁移兼容性、回滚策略与数据库变更兼容。","部署流程35分；回滚与兼容30分；监控与验证20分；演练15分"
jv-034,Java后端-流量控制与优先级队列,"在突发流量下如何保证关键请求的可用性？",Java后端,"应包含优先级队列、隔离队列、降级与预留容量策略。","策略完整性35分；实现细节30分；风险控制20分；测试15分"
jv-035,Java后端-时间序列数据设计,"如何设计高效的时间序列存储与查询方案？",Java后端,"应讨论压缩、分区、TTL、索引与聚合计算策略。","存储方案35分；查询优化30分；压缩与归档20分；工程实践15分"
jv-036,Java后端-资源限制与熵管理,"如何在资源受限环境下保证服务稳定运行？",Java后端,"应讨论限流、内存/CPU隔离、退避与降级策略。","策略设计35分；实现细节30分；监控与告警20分；恢复策略15分"
jv-037,Java后端-多租户架构设计,"如何为SaaS系统设计多租户隔离与共享策略？",Java后端,"应涵盖数据库隔离、配置隔离、权限隔离与性能保障。","架构完整性35分；隔离策略30分；运维与弹性20分；安全15分"
jv-038,Java后端-大数据批处理与流处理对比,"何时选择批处理，何时选择流处理？举例说明。",Java后端,"应比较延迟、吞吐、一致性与实现复杂度，并给出典型框架匹配。","对比深度35分；场景判断30分；工具匹配20分；工程实践15分"
jv-039,Java后端-灰度策略与AB测试,"如何设计灰度与A/B测试流程以验证变更效果？",Java后端,"应包含指标定义、流量分配、统计显著性与回滚策略。","实验设计35分；指标与分析30分；工程化实现20分；风险15分"
jv-040,Java后端-缓存预热与失效策略,"如何设计缓存预热、过期与清理策略以避免冷启动问题？",Java后端,"应讨论缓存填充、主动失效、批量更新与一致性保证。","策略完整性35分；实现细节30分；一致性考虑20分；运维15分"
jv-041,Java后端-数据迁移与兼容性,"大规模数据迁移如何保证业务连续性？",Java后端,"应涉及渐进迁移、双写、回滚与校验机制。","迁移策略35分；数据一致性30分；回滚与验证20分；风险15分"
jv-042,Java后端-多语言服务互操作,"服务间采用不同语言如何保证互操作性与性能？",Java后端,"应讨论接口契约、数据格式、RPC协议与编解码性能。","互操作策略35分；协议选择30分；性能权衡20分；兼容性15分"
jv-043,Java后端-紧急故障响应流程,"如何组织线上故障响应与后续复盘流程？",Java后端,"应包含SOP、责任分配、快速定位、临时补救与事后复盘。","流程完整性35分；故障定位30分；复盘与改进20分；团队协作15分"
jv-044,Java后端-微服务数据建模,"微服务之间应如何划分边界与数据模型？",Java后端,"应讨论领域驱动设计、聚合边界、事件驱动与去中心化数据管理。","建模能力35分；边界划分30分；事件与一致性20分；实践15分"
jv-045,Java后端-性能监控指标选取,"选择监控指标时应该包含哪些关键维度？",Java后端,"应包括延迟分位、错误率、吞吐、资源利用率、队列长度与业务指标。","指标完整性35分；可操作性30分；告警策略20分；实践15分"
jv-046,Java后端-常见并发陷阱,"列举并发编程中常见的陷阱并说明防范方法。",Java后端,"应包含可见性、竞争、死锁、锁粒度与锁顺序等问题及解决方案。","覆盖面35分；防护方法30分；示例说明20分；工程实践15分"
jv-047,Java后端-数据库连接漂移问题,"为什么会出现连接漂移（connection leak），如何检测与修复？",Java后端,"应包含连接池监控、堆栈跟踪、超时设置与资源正确关闭实践。","诊断能力35分；修复方案30分；预防措施20分；验证15分"
jv-048,Java后端-批处理作业设计,"如何设计可靠的批处理作业（包括重试与幂等）？",Java后端,"应涉及任务切分、幂等设计、容错、幂等表与任务追踪。","设计完整性35分；幂等与容错30分；监控与重试20分；运维15分"
jv-049,Java后端-资源隔离与多租户限流,"如何为不同租户设置差异化限流与资源保障？",Java后端,"应包括令牌桶/漏桶、租户配额、优先级与保障带宽策略。","策略设计35分；实现细节30分；公平性与隔离20分；运维15分"
jv-050,Java后端-服务发现与注册中心,"比较常见的服务发现方案（Consul/Eureka/Kubernetes内置）及其特点。",Java后端,"应讨论健康检查、TTL、缓存与一致性、以及分布式环境下的可扩展性。","方案对比35分；实现细节30分；监控与稳定性20分；案例15分"
jv-051,Java后端-分布式锁实现对比,"比较ZooKeeper、Redis及数据库实现分布式锁的优缺点。",Java后端,"应讨论可重入、超时、安全释放与性能开销。","比较深度35分；实现细节30分；风险与边界20分；经验15分"
fe-012,Web前端-图片性能优化,"如何优化页面中大量图片的加载与展示，降低首屏时间？",Web前端,"应包含图片格式选择、懒加载、占位图、响应式图片与CDN策略。","诊断与优化30分；实现细节40分；兼容性15分；工程实践15分"
fe-013,Web前端-HTTP/2与HTTP/3优化,"解释HTTP/2和HTTP/3对前端性能的影响以及优化建议。",Web前端,"应讨论多路复用、头部压缩、连接复用、QUIC优势与适配策略。","协议理解35分；优化方法35分；工程落地20分；风险10分"
fe-014,Web前端-前端监控与埋点,"如何设计前端埋点方案并保证数据质量？",Web前端,"应包括事件设计、采样策略、数据契约、错误监控与埋点版本管理。","方案完整性35分；可靠性30分；数据质量与监控20分；实践15分"
fe-015,Web前端-前端自动化测试,"如何在前端项目中构建可靠的自动化测试体系？",Web前端,"应涉及单元测试、集成测试、端到端测试、测试金字塔与持续集成。","测试覆盖策略35分；工具与实践30分；维护成本20分；落地经验15分"
fe-016,Web前端-性能预算与持续监控,"如何为前端项目设置性能预算并维持在CI中检测？",Web前端,"应包含关键指标（TTFB,FCP,CLS等）、预算策略、自动化检测与回滚。","指标选择35分；CI集成30分；告警与回滚20分；实践15分"
fe-017,Web前端-安全依赖管理,"如何管理前端依赖以减少供应链攻击风险？",Web前端,"应包括依赖审计、锁定版本、私有仓库、自动化修复与审查流程。","安全策略35分；工程实践30分；工具链20分；风险评估15分"
fe-018,Web前端-离线与缓存策略,"如何为PWA设计离线策略并保证数据一致性？",Web前端,"应讨论Service Worker缓存策略、策略回退、同步与冲突解决。","方案完整性35分；一致性处理30分；实现细节20分；用户体验15分"
fe-019,Web前端-动画与交互性能,"如何实现高性能动画并避免掉帧？",Web前端,"应涉及合成图层、transform与opacity优化、避免强制回流与GPU加速。","性能理解35分；实现技巧35分；兼容性20分；工程实践10分"
fe-020,Web前端-表单设计与验证,"如何设计大型表单以提升体验并保证数据正确性？",Web前端,"应包括分步表单、验证策略、错误回馈、无障碍与可用性考虑。","体验与验证30分；实现策略40分；容错与回退20分；可访问性10分"
fe-021,Web前端-类型系统与迁移策略,"如何在现有项目中引入TypeScript并逐步迁移？",Web前端,"应包含兼容性策略、逐步迁移方法、类型策略与构建兼容性。","迁移策略35分；工具链与配置30分；风险控制20分；实践经验15分"
fe-022,Web前端-SSR与CSR权衡,"何时选择SSR、CSR或混合策略，分别的优缺点？",Web前端,"应讨论SEO、首屏性能、缓存、开发复杂度与运营成本。","权衡分析35分；实现要点30分；缓存与运维20分；案例15分"
fe-023,Web前端-前端国际化工程化,"如何管理多语言资源并支持动态切换？",Web前端,"应包含资源提取、占位符、格式化、懒加载语言包与回退策略。","工程化程度35分；兼容性与格式化30分；性能考量20分；实践15分"
fe-024,Web前端-前端监测的用户分流分析,"如何基于前端埋点做用户行为与漏斗分析？",Web前端,"应涉及事件体系、用户标识、会话定义、漏斗构建与A/B实验结合。","数据分析能力35分；事件建模30分；指标定义20分；实践15分"
fe-025,Web前端-跨域资源访问与安全,"如何安全地处理跨域请求与第三方脚本？",Web前端,"应讨论CORS、代理、Content Security Policy、沙箱与第三方脚本隔离。","安全策略35分；实现细节30分；兼容性20分；风险15分"
fe-026,Web前端-前端架构演进策略,"在快速迭代的产品中如何演进前端架构以保持可维护性？",Web前端,"应包含模块化、包体控制、共享组件、治理与文档化。","架构判断35分；治理与实践30分；落地策略20分；团队协作15分"
fe-027,Web前端-资源预加载策略,"如何设计资源预加载以提升关键交付性能？",Web前端,"应涵盖preload/prefetch/push、优先级设定、资源依赖关系与缓存策略。","策略正确性35分；实现细节30分；影响评估20分；实践15分"
fe-028,Web前端-第三方SDK接入管理,"如何评估并管理第三方SDK带来的性能与安全风险？",Web前端,"应包含影响评估、懒加载策略、隔离加载与监控。","评估深度35分；隔离方案30分；监控与回退20分；实践15分"
fe-029,Web前端-前端性能诊断工具链,"常用的前端性能诊断工具有哪些，如何组合使用？",Web前端,"应介绍Lighthouse、DevTools、RUM工具、性能剖析与日志分析。","工具熟悉度35分；诊断流程30分；报告与优化20分；实践15分"
fe-030,Web前端-状态同步与离线合并,"如何在多人协作或离线场景中同步前端状态并合并冲突？",Web前端,"应讨论CRDT/OT、冲突解决策略、版本控制与用户交互提示。","同步模型理解35分；实现复杂度30分；冲突策略20分；工程实践15分"
fe-031,Web前端-语义化与SEO优化,"如何通过语义化HTML提升SEO并兼顾可访问性？",Web前端,"应包含meta/结构化数据、语义标签、服务端渲染与结构化数据标注。","SEO理解35分；实现方法30分；可访问性20分；工程实践15分"
fe-032,Web前端-性能回归管理,"如何在CI中检测并阻止性能回归？",Web前端,"应包含性能基线、阈值、自动报告、回滚流程与告警策略。","CI集成35分；阈值与告警30分；报告易读性20分；实践15分"
fe-033,Web前端-响应式设计与适配策略,"如何在多设备上保证良好的响应式体验？",Web前端,"应包含媒体查询、flexbox/grid、图片与字体适配及适配测试策略。","设计完整性35分；实现方法30分；测试与兼容20分；体验15分"
fe-034,Web前端-数据可视化性能优化,"如何在前端实现大规模数据可视化且保证交互性能？",Web前端,"应讨论Canvas/WebGL、数据下采样、分层渲染与异步加载。","方案选择35分；实现细节30分；交互设计20分；性能验证15分"
fe-035,Web前端-模块联邦与依赖管理,"模块联邦在共享组件时的优势与挑战是什么？",Web前端,"应讨论版本兼容、共享依赖、发布协调与运行时性能影响。","架构理解35分；实现与兼容30分；风险控制20分；实践15分"
fe-036,Web前端-浏览器差异与兼容性策略,"如何应对浏览器差异并保证一致行为？",Web前端,"应包含特性检测、polyfill、自动化跨浏览测试与降级策略。","兼容性策略35分；测试覆盖30分；降级与回退20分；实践15分"
fe-037,Web前端-可维护组件设计原则,"如何设计可复用且易维护的组件库？",Web前端,"应包含API设计、样式隔离、文档化、测试与版本管理。","设计原则35分；实现细节30分；治理与文档20分；实践15分"
fe-038,Web前端-前端包管理优化,"如何在大型团队中治理npm依赖并控制包体增长？",Web前端,"应涉及依赖审查、替代库、代码拆分、限制直接依赖与镜像策略。","治理方案35分；技术手段30分；流程与权限20分；实践15分"
fe-039,Web前端-表格与虚拟列表优化,"如何实现高性能的长列表/表格渲染？",Web前端,"应包含虚拟滚动、分片渲染、键控渲染与不可变数据优化。","实现技巧35分；性能提升30分；兼容性20分；实践15分"
fe-040,Web前端-可观测性与前端日志体系,"如何在前端建立可观测性以支持故障排查？",Web前端,"应讨论日志结构、采样、错误聚合、性能指标与告警策略。","体系建设35分；实现方法30分；联动后台20分；实践15分"
fe-041,Web前端-边缘计算与前端优化,"边缘计算如何帮助前端性能与可用性？",Web前端,"应包含边缘渲染、缓存策略、近源服务与数据合规问题。","场景判断35分；实现方案30分；风险与合规20分；实践15分"
fe-042,Web前端-资源安全加载策略,"如何防止第三方资源加载导致的性能与安全问题？",Web前端,"应包括SRI、CSP、懒加载与超时回退机制。","安全措施35分；实现与回退30分；监控20分；实践15分"
fe-043,Web前端-基于权限的功能降级,"如何根据用户权限实现前端功能降级而不影响核心体验？",Web前端,"应讨论权限判定、异步加载、占位与友好提示。","策略设计35分；实现细节30分；用户体验20分；测试15分"
fe-044,Web前端-复杂交互状态管理,"如何管理复杂的交互状态与局部/全局同步？",Web前端,"应涉及状态机/状态图、局部状态封装、事件总线与不可变数据。","方案完整性35分；实现与调试30分；性能与可维护20分；实践15分"
fe-045,Web前端-渐进式增强策略,"在面向多端用户时如何使用渐进式增强保证核心可用性？",Web前端,"应包含功能检测、无JS体验、关键功能优先与兼容性策略。","策略正确性35分；实现方案30分；可访问性20分；实践15分"
fe-046,Web前端-模块化CSS策略,"如何组织Css/样式以避免样式冲突与体积暴涨？",Web前端,"应讨论CSS Modules、BEM、CSS-in-JS、按需加载与全局变量管理。","维护性35分；实现策略30分；性能考虑20分；实践15分"
fe-047,Web前端-前端国际化测试策略,"如何为多语言项目设计回归与自动化测试？",Web前端,"应包括语言覆盖、格式化测试、RTL支持与视觉回归。","测试覆盖35分；自动化策略30分；视觉与格式化20分；实践15分"
fe-048,Web前端-前端工程化度量指标,"如何衡量前端工程化的成熟度并持续改进？",Web前端,"应包含构建时间、部署频率、回滚率、测试覆盖率与性能指标。","度量体系35分；改进策略30分；数据驱动20分；实践15分"
fe-049,Web前端-浏览器内存泄漏排查,"如何定位并修复前端内存泄漏问题？",Web前端,"应包含快照对比、事件监听泄漏、定时器/闭包问题与组件卸载清理。","排查技能35分；修复策略30分；验证20分；实践15分"
fe-050,Web前端-前端工程安全策略,"如何在前端开发流程中嵌入安全检测与自动化修复？",Web前端,"应包含依赖安全扫描、静态分析、CI阻断策略与自动修复建议。","安全策略35分；工程集成30分；工具链20分；实践15分"
py-011,Python算法-在线学习算法,"什么是在线学习（online learning），适合哪些场景？",Python算法,"应说明增量更新、概念漂移、模型更新开销与适配性。","方法理解35分；场景匹配30分；实现与稳定性20分；表达15分"
py-012,Python算法-流式聚合技术,"在流数据中如何做近似聚合（如TopK/频率估计）？",Python算法,"应包括流算法（如Count-Min、Misra-Gries）、误差控制与内存/精度权衡。","算法掌握35分；准确性与空间30分；工程落地20分；表达15分"
py-013,Python算法-异常检测方法对比,"比较常见异常检测方法及其优缺点（统计/机器学习/深度学习）。",Python算法,"应讨论阈值、模型训练、无监督方法与在线部署挑战。","方法对比35分；适用场景30分；工程实践20分；表达15分"
py-014,Python算法-图神经网络简介,"简述图神经网络主要思想及典型应用场景。",Python算法,"应包含消息传递机制、表示学习、采样策略与大图分布式训练挑战。","原理理解35分；场景适配30分；工程实现20分；表达15分"
py-015,Python算法-特征互信息与选择,"如何用互信息或相关性进行特征选择并避免过拟合？",Python算法,"应包括互信息计算、连续/离散特征处理、正则化与交叉验证策略。","方法理解35分；过拟合防控30分；实现细节20分；实践15分"
py-016,Python算法-模型压缩技巧,"如何在不显著损失精度的前提下压缩模型以部署在边缘端？",Python算法,"应涉及剪枝、量化、知识蒸馏与结构化压缩策略。","方法全面性35分；工程实现30分；效果验证20分；实践15分"
py-017,Python算法-时间序列预测方法,"常见时间序列预测方法及模型选择要点（ARIMA/LSTM/Prophet等）。",Python算法,"应讨论平稳性、季节性、特征工程与模型评估指标。","方法理解35分；模型选择30分；特征工程20分；实践15分"
py-018,Python算法-模型部署与灰度策略,"模型部署时如何做灰度与回滚保障线上稳定？",Python算法,"应包含A/B测试、流量分割、回滚策略与指标监控。","部署策略35分；回滚与保障30分；监控与验证20分；实践15分"
py-019,Python算法-隐私保护与差分隐私,"差分隐私是什么，如何在模型训练中保护用户隐私？",Python算法,"应包含隐私预算、噪声注入、合规性与效果权衡。","理论理解35分；工程实现30分；隐私/效能权衡20分；实践15分"
py-020,Python算法-推荐系统在线评估指标,"推荐系统在线指标如何设计（CTR/CVR/留存/多臂等）？",Python算法,"应包含指标定义、A/B实验设计、冷启动与指标漂移问题。","指标设计35分；实验设计30分；业务映射20分；实践15分"
py-021,Python算法-高维度嵌入技术,"如何训练高质量的向量嵌入并做近似搜索？",Python算法,"应包含embedding训练、降维、距离度量、ANN索引与检索效率。","方法与实现35分；检索工程30分；效果度量20分；实践15分"
py-022,Python算法-贝叶斯方法简介,"贝叶斯方法在机器学习中的基本思想与常用模型。",Python算法,"应讨论先验/后验、贝叶斯推断、MCMC与近似推断方法。","理论理解35分；方法应用30分；实现挑战20分；表达15分"
py-023,Python算法-迁移学习策略,"迁移学习的常见策略与在小数据场景下的应用。",Python算法,"应包含预训练模型微调、特征迁移、冻结层与学习率策略。","策略理解35分；小样本实践30分；工程实现20分；效果验证15分"
py-024,Python算法-在线A/B实验统计方法,"在线实验如何做统计显著性检验与多指标校正？",Python算法,"应包括假设检验、多重比较、样本量计算与指标相关性处理。","统计理解35分；实验设计30分；校正方法20分；实践15分"
py-025,Python算法-自监督学习概念,"自监督学习的核心思想及典型任务（如对比学习）。",Python算法,"应包含预训练目标、正负样本采样、下游任务迁移与工程化挑战。","方法理解35分；应用场景30分；工程实现20分；表达15分"
py-026,Python算法-分布式训练架构,"分布式训练常见架构（数据并行/模型并行）与通信优化。",Python算法,"应涉及同步/异步训练、AllReduce、梯度压缩与带宽优化。","架构理解35分；通信优化30分；工程实现20分；性能验证15分"
py-027,Python算法-特征漂移检测,"如何检测与处理特征/标签漂移以保证模型稳定性？",Python算法,"应包含漂移指标、监控策略、重训练触发与数据管道兼容。","检测方法35分；监控策略30分；触发与修复20分；实践15分"
py-028,Python算法-模型解释性方法,"常见的模型解释性方法（LIME/SHAP）及其工程化挑战。",Python算法,"应讨论局部/全局解释、计算开销、可视化与业务解读。","方法理解35分；工程实现30分；可视化与解读20分；实践15分"
py-029,Python算法-非监督学习聚类技巧,"聚类算法的选择与评价指标（KMeans/DBSCAN等）。",Python算法,"应包含簇数估计、尺度标准化、噪声处理与可视化方法。","方法选择35分；指标与验证30分；工程实践20分；表达15分"
py-030,Python算法-低延迟在线推理架构,"如何设计低延迟的在线推理服务并保证吞吐？",Python算法,"应包含模型加速、并发架构、批量化、冷启动与资源隔离。","架构设计35分；性能优化30分；工程实现20分；验证15分"
